superkingdom	phylum	class	order	family	genus
t1320	Bacteria	Firmicutes	Clostridia	Tissierellales	Peptoniphilaceae	Anaerococcus
t4266	Bacteria	Firmicutes	Bacilli	RFN20	CAG-288	CAG-345
t2611	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Eisenbergiella
t1899	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Roseburia
t2672	Bacteria	Firmicutes	Bacilli	Bacillales_A	Planococcaceae	Ureibacillus
t5681	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Adlercreutzia
t3590	Bacteria	Firmicutes	Clostridia	Oscillospirales	Butyricicoccaceae	Butyricicoccus
t1581	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Faecalibacterium
t1278	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinifilaceae	Odoribacter
t3916	Bacteria	Firmicutes	Clostridia	TANB77	CAG-508	UMGS1994
t3160	Bacteria	Firmicutes	Clostridia	Peptostreptococcales	Anaerovoracaceae	UBA1191
t9020	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Amedibacillus
t5940	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	DTU049	GWF2-43-63
t2331	Bacteria	Firmicutes	Bacilli	RF39	UBA660	CAG-822
t3506	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	An92
t1143	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Paramuribaculum
t2795	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	Papillibacter
t813	Bacteria	Firmicutes	Clostridia	Peptostreptococcales	Anaerovoracaceae	Aminipila
t7101	Bacteria	Firmicutes	Clostridia	Oscillospirales	Acutalibacteraceae	UBA4871
t7104	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Turicimonas
t5689	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	UBA932	Bact-08
t3903	Bacteria	Firmicutes	Clostridia	Oscillospirales	Acutalibacteraceae	CAG-180
t2593	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Hungatella
t1495	Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Aerococcus
t9103	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	NSJ-61
t5303	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Bergeyella_A
t4249	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Acetatifactor
t2476	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Kineothrix
t2512	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus_B
t5488	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	QAMH01	QAMH01
t4653	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Dorea
t7448	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Amulumruptor
t8713	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Fusicatenibacter
t9070	Bacteria	Firmicutes	Clostridia_A	Christensenellales	Borkfalkiaceae	Borkfalkia
t6771	Bacteria	Firmicutes	Clostridia	Oscillospirales	Acutalibacteraceae	Marseille-P4683
t6307	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Atopostipes
t2289	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Aureimonas_A
t1106	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Microbacteriaceae	Microbacterium
t2329	Bacteria	Firmicutes	Bacilli	RF39	UBA660	CAG-1000
t6898	Bacteria	Firmicutes	Clostridia	Oscillospirales	Butyricicoccaceae	AM07-15
t3200	Bacteria	Firmicutes	Bacilli	Mycoplasmatales	Mycoplasmoidaceae	Malacoplasma_A
t1234	Bacteria	Firmicutes	Clostridia	Tissierellales	Peptoniphilaceae	Finegoldia
t5192	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Eggerthella
t792	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Pusillimonas_A
t3162	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	NSJ-38
t1264	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Massilioclostridium
t5105	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	BBW3	UBA8529
t5302	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	1XD42-69
t1132	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella
t5172	Bacteria	Cyanobacteria	Vampirovibrionia	Gastranaerophilales	Gastranaerophilaceae	CAIPUE01
t4962	Bacteria	Cyanobacteria	Vampirovibrionia	Gastranaerophilales	Gastranaerophilaceae	UBA6984
t3577	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Massilimaliae
t9351	Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Bilophila
t2191	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	UBA2658
t3602	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	CAG-603
t1449	Bacteria	Firmicutes	Bacilli	Bacillales_A	Planococcaceae	Sporosarcina
t3164	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	QANG01
t6746	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	NSJ-62
t788	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Eubacterium_H
t4434	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	F0040
t7196	Bacteria	Firmicutes	Clostridia_A	Christensenellales	Borkfalkiaceae	UBA10281
t1130	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Ruminococcus_D
t3892	Bacteria	Firmicutes	Clostridia	Oscillospirales	Acutalibacteraceae	NSJ-40
t6794	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelatoclostridiaceae	Coprobacillus
t4084	Bacteria	Firmicutes	Dehalobacteriia	Dehalobacteriales	Dehalobacteriaceae	Formamonas
t5705	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Dorea_A
t6150	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Ruminococcus_F
t4961	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	CAG-194
t8300	Bacteria	Firmicutes	Clostridia	Acetivibrionales	Acetivibrionaceae	Acetivibrio
t5717	Bacteria	Proteobacteria	Gammaproteobacteria	Cardiobacteriales	Wohlfahrtiimonadaceae	Wohlfahrtiimonas
t9426	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Anaerorhabdus
t1089	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	CAG-127
t3773	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	SFTJ01
t1564	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	UBA7182
t3353	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Ileibacterium
t4583	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Paraprevotella
t4703	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelatoclostridiaceae	Beduini
t9304	Bacteria	Firmicutes	Clostridia	Peptostreptococcales	Anaerovoracaceae	CAG-238
t5298	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	UBA9414
t5819	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Negativibacillus
t1349	Bacteria	Firmicutes	Clostridia	Oscillospirales	Acutalibacteraceae	Clostridium_E
t1259	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Bariatricus
t2393	Bacteria	Firmicutes	Bacilli	Mycoplasmatales	Mycoplasmoidaceae	Ureaplasma
t3893	Bacteria	Firmicutes	Clostridia	Oscillospirales	BX7	BX7
t2486	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Ralstonia
t1848	Bacteria	Firmicutes	Clostridia	Peptostreptococcales	Peptostreptococcaceae	Romboutsia
t4120	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Anaerotruncus
t8302	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Selenomonadaceae	Selenomonas
t1894	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter
t3819	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	MD308
t7488	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	Oscillibacter
t1379	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Selenomonadaceae	Mitsuokella
t3615	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	UC5-1-2E3
t1262	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Holdemanella
t1139	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	UBA636
t7113	Bacteria	Firmicutes	Clostridia	Tissierellales	Peptoniphilaceae	Ezakiella
t5396	Bacteria	Firmicutes	Clostridia_A	Christensenellales	CAG-74	UBA11524
t1753	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Campylobacteraceae	Campylobacter_D
t2404	Bacteria	Actinobacteriota	Actinomycetia	Propionibacteriales	Propionibacteriaceae	Cutibacterium
t2427	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas_A
t4658	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Pasteurellaceae	Haemophilus_D
t2568	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus_A
t3076	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Ruminiclostridium_E
t7028	Bacteria	Proteobacteria	Alphaproteobacteria	RUG11792	RUG11792	RUG11420
t1910	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	UBA1394
t2089	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Ruthenibacterium
t3559	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Ruminococcus
t4784	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Harryflintia
t2374	Bacteria	Desulfobacterota	Desulfuromonadia	Geobacterales	Pseudopelobacteraceae	Pseudopelobacter
t2813	Bacteria	Firmicutes	Clostridia_A	Christensenellales	CAG-917	CAG-475
t6707	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Mediterraneibacter_A
t1535	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Alkalibacterium
t1182	Bacteria	Proteobacteria	Alphaproteobacteria	RF32	CAG-239	RUG410
t1815	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Anaerosporobacter
t6741	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Empedobacter
t1266	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Sphingobacterium
t1599	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas_A
t6280	Bacteria	Firmicutes	Clostridia	Oscillospirales	CAG-272	UMGS1815
t1481	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Levilactobacillus
t4255	Bacteria	Firmicutes	Bacilli	RF39	UBA660	CAG-776
t5955	Bacteria	Firmicutes	Bacilli	RF39	UBA660	CAG-988
t8636	Bacteria	Firmicutes	SHA-98	Ch115	JABLXJ01	JABLXL01
t4826	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	BBW3	UBA5261
t4203	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	BBW3	Tenuifilum
t807	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas
t958	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotellamassilia
t4821	Bacteria	Firmicutes	Clostridia	Oscillospirales	Acutalibacteraceae	Acutalibacter
t1789	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	14-2
t2732	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lacrimispora
t2346	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	UBA1997	UBA2645
t8647	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	JABCPE02
t1846	Bacteria	Firmicutes	Clostridia	Peptostreptococcales	Anaerovoracaceae	BX12
t2375	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Helicobacteraceae	Helicobacter_C
t3531	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Selenomonadaceae	Pectinatus
t4870	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	UBA7160
t5033	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Angelakisella
t8407	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Phocea
t1355	Bacteria	Firmicutes	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillus_C
t5291	Bacteria	Firmicutes	Clostridia	Acetivibrionales	Acetivibrionaceae	Anaerobacterium
t2753	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Herbinix
t4116	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	RUG115
t5615	Bacteria	Firmicutes	Clostridia	TANB77	CAG-508	CAG-269
t7524	Bacteria	Firmicutes	Bacilli	Bacillales_B	Bacillaceae_C	Bacillus_AH
t3793	Bacteria	Firmicutes	Clostridia	Acetivibrionales	Acetivibrionaceae	Herbivorax
t4875	Bacteria	Firmicutes	Clostridia	TANB77	CAG-508	CAG-452
t8108	Bacteria	Firmicutes	Clostridia_A	Christensenellales	UBA1242	UBA7862
t4433	Bacteria	Firmicutes	Clostridia_A	Christensenellales	CAG-138	CAG-1024
t4463	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	Saccharimonadaceae	UBA2834
t1122	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Serratia
