subject_id	group	tumor_size	time_point	batch
b1_m1	M	0.16	7	batch_1
b1_m2	M	0.1225	7	batch_1
b1_m3	M	0	7	batch_1
b1_m4	M	0	7	batch_1
b1_m5	M	0	7	batch_1
b1_m6	M	0	7	batch_1
b1_m7	M	0.04	7	batch_1
b1_m8	M	0.09	7	batch_1
b1_m9	M	0.1225	7	batch_1
b1_m10	M	0.1225	7	batch_1
b1_m11	M	0.04	7	batch_1
b1_m12	M	0.1225	7	batch_1
b1_m1	M	0.49	9	batch_1
b1_m2	M	0.4225	9	batch_1
b1_m3	M	0	9	batch_1
b1_m4	M	0	9	batch_1
b1_m5	M	0	9	batch_1
b1_m6	M	0	9	batch_1
b1_m7	M	0.2025	9	batch_1
b1_m8	M	0.36	9	batch_1
b1_m9	M	0.49	9	batch_1
b1_m10	M	0.36	9	batch_1
b1_m11	M	0.3025	9	batch_1
b1_m12	M	0.36	9	batch_1
b1_m1	M	0.9025	11	batch_1
b1_m2	M	0.5625	11	batch_1
b1_m3	M	0.36	11	batch_1
b1_m4	M	0.16	11	batch_1
b1_m5	M	0.2025	11	batch_1
b1_m6	M	0.16	11	batch_1
b1_m7	M	0.49	11	batch_1
b1_m8	M	0.64	11	batch_1
b1_m9	M	0.4225	11	batch_1
b1_m10	M	0.75	11	batch_1
b1_m11	M	0.36	11	batch_1
b1_m12	M	0.9025	11	batch_1
b1_m1	M	0.9	14	batch_1
b1_m2	M	0.64	14	batch_1
b1_m3	M	1	14	batch_1
b1_m4	M	0.4225	14	batch_1
b1_m5	M	0.3	14	batch_1
b1_m6	M	0.945	14	batch_1
b1_m8	M	1.575	14	batch_1
b1_m9	M	1.035	14	batch_1
b1_m10	M	0.5525	14	batch_1
b1_m11	M	0.49	14	batch_1
b1_m12	M	0.4225	14	batch_1
b1_m2	M	1.5625	16	batch_1
b1_m3	M	1	16	batch_1
b1_m5	M	0.9025	16	batch_1
b1_m6	M	1.8225	16	batch_1
b1_m8	M	2.145	16	batch_1
b1_m9	M	1.3225	16	batch_1
b1_m10	M	1.21	16	batch_1
b1_m11	M	1	16	batch_1
b1_m12	M	0.5625	16	batch_1
b1_m2	M	1.96	18	batch_1
b1_m3	M	1.3225	18	batch_1
b1_m5	M	1	18	batch_1
b1_m9	M	1.62	18	batch_1
b1_m10	M	1.5625	18	batch_1
b1_m11	M	1.3225	18	batch_1
b1_m12	M	0.945	18	batch_1
b1_m1ac1	M_LAC	0	7	batch_1
b1_m1ac2	M_LAC	0	7	batch_1
b1_m1ac3	M_LAC	0	7	batch_1
b1_m1ac4	M_LAC	0	7	batch_1
b1_m1ac5	M_LAC	0	7	batch_1
b1_m1ac6	M_LAC	0.1225	7	batch_1
b1_m1ac7	M_LAC	0.2025	7	batch_1
b1_m1ac8	M_LAC	0.16	7	batch_1
b1_m1ac9	M_LAC	0.09	7	batch_1
b1_m1ac10	M_LAC	0	7	batch_1
b1_m1ac11	M_LAC	0	7	batch_1
b1_m1ac12	M_LAC	0	7	batch_1
b1_m1ac1	M_LAC	0.1225	9	batch_1
b1_m1ac2	M_LAC	0.2025	9	batch_1
b1_m1ac3	M_LAC	0.1225	9	batch_1
b1_m1ac4	M_LAC	0.36	9	batch_1
b1_m1ac5	M_LAC	0	9	batch_1
b1_m1ac6	M_LAC	0.36	9	batch_1
b1_m1ac7	M_LAC	0.4225	9	batch_1
b1_m1ac8	M_LAC	0.36	9	batch_1
b1_m1ac9	M_LAC	0.2025	9	batch_1
b1_m1ac10	M_LAC	0.0625	9	batch_1
b1_m1ac11	M_LAC	0.2025	9	batch_1
b1_m1ac12	M_LAC	0.1225	9	batch_1
b1_m1ac1	M_LAC	0.2025	11	batch_1
b1_m1ac2	M_LAC	0.36	11	batch_1
b1_m1ac3	M_LAC	0.3025	11	batch_1
b1_m1ac4	M_LAC	0.4225	11	batch_1
b1_m1ac5	M_LAC	0	11	batch_1
b1_m1ac6	M_LAC	0.4225	11	batch_1
b1_m1ac7	M_LAC	0.64	11	batch_1
b1_m1ac8	M_LAC	0.36	11	batch_1
b1_m1ac9	M_LAC	0.09	11	batch_1
b1_m1ac10	M_LAC	0.25	11	batch_1
b1_m1ac11	M_LAC	0.64	11	batch_1
b1_m1ac12	M_LAC	0.375	11	batch_1
b1_m1ac1	M_LAC	0.3025	14	batch_1
b1_m1ac2	M_LAC	0.825	14	batch_1
b1_m1ac3	M_LAC	0.36	14	batch_1
b1_m1ac5	M_LAC	0	14	batch_1
b1_m1ac6	M_LAC	0.49	14	batch_1
b1_m1ac7	M_LAC	0.49	14	batch_1
b1_m1ac9	M_LAC	0.69	14	batch_1
b1_m1ac10	M_LAC	0.6375	14	batch_1
b1_m1ac11	M_LAC	1	14	batch_1
b1_m1ac12	M_LAC	1	14	batch_1
b1_m1ac2	M_LAC	1.21	16	batch_1
b1_m1ac5	M_LAC	0	16	batch_1
b1_m1ac7	M_LAC	0.81	16	batch_1
b1_m1ac9	M_LAC	1.5625	16	batch_1
b1_m1ac10	M_LAC	1	16	batch_1
b1_m1ac11	M_LAC	1.21	16	batch_1
b1_m1ac12	M_LAC	1.44	16	batch_1
b1_m1ac2	M_LAC	1.76	18	batch_1
b1_m1ac5	M_LAC	0.0625	18	batch_1
b1_m1ac7	M_LAC	1.035	18	batch_1
b1_m1ac9	M_LAC	1.62	18	batch_1
b1_m1ac11	M_LAC	1.2825	18	batch_1
b1_m1ac12	M_LAC	1.52	18	batch_1
b2_m1	M	0	7	batch_2
b2_m2	M	0	7	batch_2
b2_m3	M	0	7	batch_2
b2_m4	M	0	7	batch_2
b2_m5	M	0	7	batch_2
b2_m6	M	0	7	batch_2
b2_m7	M	0	7	batch_2
b2_m8	M	0	7	batch_2
b2_9m	M	0	7	batch_2
b2_m10	M	0	7	batch_2
b2_m11	M	0.08	7	batch_2
b2_m12	M	0	7	batch_2
b2_m13	M	0	7	batch_2
b2_m14	M	0	7	batch_2
b2_m15	M	0	7	batch_2
b2_m16	M	0	7	batch_2
b2_m17	M	0	7	batch_2
b2_mbif1	M_BIF	0.08	7	batch_2
b2_mbif2	M_BIF	0	7	batch_2
b2_mbif3	M_BIF	0	7	batch_2
b2_mbif4	M_BIF	0	7	batch_2
b2_mbif5	M_BIF	0	7	batch_2
b2_mbif6	M_BIF	0	7	batch_2
b2_mbif7	M_BIF	0	7	batch_2
b2_mbif8	M_BIF	0.125	7	batch_2
b2_mbif9	M_BIF	0.125	7	batch_2
b2_mbif10	M_BIF	0	7	batch_2
b2_mbif11	M_BIF	0	7	batch_2
b2_mbif12	M_BIF	0	7	batch_2
b2_mbif13	M_BIF	0	7	batch_2
b2_mbif14	M_BIF	0	7	batch_2
b2_mbif15	M_BIF	0	7	batch_2
b2_mbif16	M_BIF	0	7	batch_2
b2_mbif17	M_BIF	0	7	batch_2
b2_m1	M	0.125	8	batch_2
b2_m2	M	0.18	8	batch_2
b2_m3	M	0.08	8	batch_2
b2_m4	M	0.125	8	batch_2
b2_m5	M	0	8	batch_2
b2_m6	M	0	8	batch_2
b2_m7	M	0	8	batch_2
b2_m8	M	0	8	batch_2
b2_9m	M	0	8	batch_2
b2_m10	M	0	8	batch_2
b2_m11	M	0.32	8	batch_2
b2_m12	M	0.125	8	batch_2
b2_m13	M	0.405	8	batch_2
b2_m14	M	0.5	8	batch_2
b2_m15	M	0.125	8	batch_2
b2_m16	M	0	8	batch_2
b2_m17	M	0	8	batch_2
b2_mbif1	M_BIF	0.245	8	batch_2
b2_mbif2	M_BIF	0.18	8	batch_2
b2_mbif3	M_BIF	0.405	8	batch_2
b2_mbif4	M_BIF	0.08	8	batch_2
b2_mbif5	M_BIF	0	8	batch_2
b2_mbif6	M_BIF	0	8	batch_2
b2_mbif7	M_BIF	0	8	batch_2
b2_mbif8	M_BIF	0.405	8	batch_2
b2_mbif9	M_BIF	0.245	8	batch_2
b2_mbif10	M_BIF	0.32	8	batch_2
b2_mbif11	M_BIF	0.08	8	batch_2
b2_mbif12	M_BIF	0.18	8	batch_2
b2_mbif13	M_BIF	0.5	8	batch_2
b2_mbif14	M_BIF	0.08	8	batch_2
b2_mbif15	M_BIF	0	8	batch_2
b2_mbif16	M_BIF	0	8	batch_2
b2_mbif17	M_BIF	0	8	batch_2
b2_m1	M	0.18	9	batch_2
b2_m2	M	0.32	9	batch_2
b2_m3	M	0.125	9	batch_2
b2_m4	M	0.18	9	batch_2
b2_m5	M	0.32	9	batch_2
b2_m6	M	0.08	9	batch_2
b2_m7	M	0.125	9	batch_2
b2_m8	M	0.08	9	batch_2
b2_9m	M	0.08	9	batch_2
b2_m10	M	0.125	9	batch_2
b2_m11	M	0.5	9	batch_2
b2_m12	M	0.18	9	batch_2
b2_m13	M	0.5	9	batch_2
b2_m14	M	0.605	9	batch_2
b2_m15	M	0.125	9	batch_2
b2_m16	M	0.08	9	batch_2
b2_m17	M	0	9	batch_2
b2_mbif1	M_BIF	0.405	9	batch_2
b2_mbif2	M_BIF	0.32	9	batch_2
b2_mbif3	M_BIF	0.605	9	batch_2
b2_mbif4	M_BIF	0.18	9	batch_2
b2_mbif5	M_BIF	0.125	9	batch_2
b2_mbif6	M_BIF	0.125	9	batch_2
b2_mbif7	M_BIF	0.08	9	batch_2
b2_mbif8	M_BIF	0.5	9	batch_2
b2_mbif9	M_BIF	0.405	9	batch_2
b2_mbif10	M_BIF	0.5	9	batch_2
b2_mbif11	M_BIF	0.18	9	batch_2
b2_mbif12	M_BIF	0.245	9	batch_2
b2_mbif13	M_BIF	0.5	9	batch_2
b2_mbif14	M_BIF	0.18	9	batch_2
b2_mbif15	M_BIF	0.18	9	batch_2
b2_mbif16	M_BIF	0.125	9	batch_2
b2_mbif17	M_BIF	0.18	9	batch_2
b2_m1	M	0.56	11	batch_2
b2_m2	M	0.225	11	batch_2
b2_m3	M	0.125	11	batch_2
b2_m4	M	0.42	11	batch_2
b2_m5	M	0.245	11	batch_2
b2_m6	M	0.405	11	batch_2
b2_m7	M	0.045	11	batch_2
b2_m8	M	1.28	11	batch_2
b2_9m	M	0.32	11	batch_2
b2_m10	M	0.32	11	batch_2
b2_m11	M	0.5	11	batch_2
b2_m12	M	0.605	11	batch_2
b2_m13	M	0.18	11	batch_2
b2_m14	M	0.18	11	batch_2
b2_m15	M	0.72	11	batch_2
b2_m16	M	0.98	11	batch_2
b2_m17	M	0.25	11	batch_2
b2_mbif1	M_BIF	1.28	11	batch_2
b2_mbif2	M_BIF	0.85	11	batch_2
b2_mbif3	M_BIF	0.49	11	batch_2
b2_mbif4	M_BIF	0.25	11	batch_2
b2_mbif5	M_BIF	0.825	11	batch_2
b2_mbif6	M_BIF	0.605	11	batch_2
b2_mbif7	M_BIF	0.245	11	batch_2
b2_mbif8	M_BIF	0.5	11	batch_2
b2_mbif9	M_BIF	0.72	11	batch_2
b2_mbif10	M_BIF	0.18	11	batch_2
b2_mbif11	M_BIF	0.245	11	batch_2
b2_mbif12	M_BIF	0.845	11	batch_2
b2_mbif13	M_BIF	0.98	11	batch_2
b2_mbif14	M_BIF	0.605	11	batch_2
b2_mbif15	M_BIF	0.565	11	batch_2
b2_mbif16	M_BIF	0.18	11	batch_2
b2_mbif17	M_BIF	0.405	11	batch_2
b2_m1	M	1.3	14	batch_2
b2_m2	M	0.845	14	batch_2
b2_m3	M	0.5	14	batch_2
b2_m4	M	0.9	14	batch_2
b2_m5	M	0.975	14	batch_2
b2_m6	M	0.405	14	batch_2
b2_m7	M	1.5	14	batch_2
b2_m8	M	0.65	14	batch_2
b2_9m	M	1.28	14	batch_2
b2_m10	M	0.845	14	batch_2
b2_m11	M	1.4	14	batch_2
b2_m12	M	0.405	14	batch_2
b2_m13	M	1.28	14	batch_2
b2_m14	M	1.12	14	batch_2
b2_m15	M	0.385	14	batch_2
b2_m16	M	1.35	14	batch_2
b2_m17	M	0.5	14	batch_2
b2_mbif1	M_BIF	1.235	14	batch_2
b2_mbif2	M_BIF	1.3	14	batch_2
b2_mbif3	M_BIF	0.77	14	batch_2
b2_mbif4	M_BIF	1.275	14	batch_2
b2_mbif5	M_BIF	1.47	14	batch_2
b2_mbif6	M_BIF	1.44	14	batch_2
b2_mbif7	M_BIF	0.6	14	batch_2
b2_mbif8	M_BIF	1.52	14	batch_2
b2_mbif9	M_BIF	1.53	14	batch_2
b2_mbif10	M_BIF	0.63	14	batch_2
b2_mbif11	M_BIF	1.5	14	batch_2
b2_mbif12	M_BIF	0.8	14	batch_2
b2_mbif13	M_BIF	1.5	14	batch_2
b2_mbif14	M_BIF	1.02	14	batch_2
b2_mbif15	M_BIF	1.805	14	batch_2
b2_mbif16	M_BIF	0.72	14	batch_2
b2_mbif17	M_BIF	0.715	14	batch_2
b2_m1	M	1.04	16	batch_2
b2_m2	M	1.26	16	batch_2
b2_m3	M	1.3	16	batch_2
b2_m4	M	0.77	16	batch_2
b2_m5	M	0.5	16	batch_2
b2_m6	M	1.35	16	batch_2
b2_m7	M	0.35	16	batch_2
b2_m8	M	1.12	16	batch_2
b2_m11	M	1.5	16	batch_2
b2_m12	M	1.26	16	batch_2
b2_m13	M	1.8	16	batch_2
b2_m14	M	1.87	16	batch_2
b2_m15	M	0.72	16	batch_2
b2_m16	M	0.42	16	batch_2
b2_m17	M	1.17	16	batch_2
b2_mbif1	M_BIF	2	16	batch_2
b2_mbif2	M_BIF	2.2	16	batch_2
b2_mbif3	M_BIF	1.5	16	batch_2
b2_mbif4	M_BIF	1.65	16	batch_2
b2_mbif5	M_BIF	1.5	16	batch_2
b2_mbif6	M_BIF	2.125	16	batch_2
b2_mbif8	M_BIF	1.52	16	batch_2
b2_mbif9	M_BIF	1.05	16	batch_2
b2_mbif10	M_BIF	2.3	16	batch_2
b2_mbif11	M_BIF	2.4	16	batch_2
b2_mbif12	M_BIF	2.52	16	batch_2
b2_mbif13	M_BIF	2.7	16	batch_2
b2_mbif14	M_BIF	2.66	16	batch_2
b2_mbif15	M_BIF	1.2	16	batch_2
b2_mbif16	M_BIF	1.725	16	batch_2
b2_m1	M	1.44	18	batch_2
b2_m2	M	2	18	batch_2
b2_m3	M	0.5	18	batch_2
b2_m4	M	1.08	18	batch_2
b2_m5	M	1.2	18	batch_2
b2_m11	M	2.645	18	batch_2
b2_m12	M	1.9	18	batch_2
b2_m13	M	0.495	18	batch_2
b2_m14	M	0.75	18	batch_2
b2_m15	M	1.2	18	batch_2
b2_mbif1	M_BIF	2.42	18	batch_2
b2_mbif2	M_BIF	1.89	18	batch_2
b2_mbif3	M_BIF	2.25	18	batch_2
b2_mbif4	M_BIF	1.56	18	batch_2
b2_mbif8	M_BIF	1.62	18	batch_2
b2_mbif9	M_BIF	1.365	18	batch_2
b2_mbif10	M_BIF	1.725	18	batch_2
b2_mbif11	M_BIF	2.21	18	batch_2
b3_m1	M	0.18	7	batch_3
b3_m2	M	0.08	7	batch_3
b3_m3	M	0	7	batch_3
b3_m4	M	0	7	batch_3
b3_m5	M	0	7	batch_3
b3_m6	M	0	7	batch_3
b3_m7	M	0	7	batch_3
b3_m8	M	0	7	batch_3
b3_m9	M	0	7	batch_3
b3_m10	M	0	7	batch_3
b3_m1	M	0.18	9	batch_3
b3_m2	M	0.05	9	batch_3
b3_m3	M	0.08	9	batch_3
b3_m4	M	0.25	9	batch_3
b3_m5	M	0.32	9	batch_3
b3_m6	M	0.08	9	batch_3
b3_m7	M	0.05	9	batch_3
b3_m8	M	0.13	9	batch_3
b3_m9	M	0.32	9	batch_3
b3_m10	M	0	9	batch_3
b3_m1	M	0.72	11	batch_3
b3_m2	M	0.5	11	batch_3
b3_m3	M	0.98	11	batch_3
b3_m4	M	0.32	11	batch_3
b3_m5	M	0.13	11	batch_3
b3_m6	M	0.61	11	batch_3
b3_m7	M	0.72	11	batch_3
b3_m8	M	0.5	11	batch_3
b3_m9	M	0.32	11	batch_3
b3_m10	M	0.13	11	batch_3
b3_m1	M	0.84	14	batch_3
b3_m2	M	0.41	14	batch_3
b3_m3	M	0.5	14	batch_3
b3_m4	M	0.72	14	batch_3
b3_m5	M	0.98	14	batch_3
b3_m6	M	0.98	14	batch_3
b3_m7	M	0.41	14	batch_3
b3_m8	M	0.5	14	batch_3
b3_m9	M	0.72	14	batch_3
b3_m10	M	1.13	14	batch_3
b3_m1	M	1.101	16	batch_3
b3_m2	M	1.3	16	batch_3
b3_m3	M	0.5	16	batch_3
b3_m4	M	0.78	16	batch_3
b3_m5	M	0.83	16	batch_3
b3_m6	M	1.62	16	batch_3
b3_m7	M	1.45	16	batch_3
b3_m8	M	0.5	16	batch_3
b3_m9	M	1.28	16	batch_3
b3_m10	M	0.98	16	batch_3
b3_m1	M	2	18	batch_3
b3_m2	M	1.96	18	batch_3
b3_m3	M	1.24	18	batch_3
b3_m4	M	0.96	18	batch_3
b3_m5	M	0.84	18	batch_3
b3_m6	M	1.6	18	batch_3
b3_m7	M	1.89	18	batch_3
b3_m8	M	1.19	18	batch_3
b3_m9	M	1.28	18	batch_3
b3_m10	M	0.85	18	batch_3
b3_mlac1	M_LAC	0.08	7	batch_3
b3_mlac2	M_LAC	0	7	batch_3
b3_mlac3	M_LAC	0	7	batch_3
b3_mlac4	M_LAC	0	7	batch_3
b3_mlac5	M_LAC	0	7	batch_3
b3_mlac6	M_LAC	0	7	batch_3
b3_mlac7	M_LAC	0	7	batch_3
b3_mlac8	M_LAC	0	7	batch_3
b3_mlac9	M_LAC	0	7	batch_3
b3_mlac10	M_LAC	0	7	batch_3
b3_mlac1	M_LAC	0.32	9	batch_3
b3_mlac2	M_LAC	0.08	9	batch_3
b3_mlac3	M_LAC	0.32	9	batch_3
b3_mlac4	M_LAC	0.08	9	batch_3
b3_mlac5	M_LAC	0.18	9	batch_3
b3_mlac6	M_LAC	0.08	9	batch_3
b3_mlac7	M_LAC	0	9	batch_3
b3_mlac8	M_LAC	0	9	batch_3
b3_mlac9	M_LAC	0	9	batch_3
b3_mlac10	M_LAC	0	9	batch_3
b3_mlac1	M_LAC	0.41	11	batch_3
b3_mlac2	M_LAC	0.5	11	batch_3
b3_mlac3	M_LAC	0.72	11	batch_3
b3_mlac4	M_LAC	0.25	11	batch_3
b3_mlac5	M_LAC	0.18	11	batch_3
b3_mlac6	M_LAC	0.18	11	batch_3
b3_mlac7	M_LAC	0.08	11	batch_3
b3_mlac8	M_LAC	0.13	11	batch_3
b3_mlac9	M_LAC	0.08	11	batch_3
b3_mlac10	M_LAC	0.18	11	batch_3
b3_mlac1	M_LAC	0.13	14	batch_3
b3_mlac2	M_LAC	0.41	14	batch_3
b3_mlac3	M_LAC	1.041	14	batch_3
b3_mlac4	M_LAC	0.5	14	batch_3
b3_mlac5	M_LAC	0.9	14	batch_3
b3_mlac6	M_LAC	0.6	14	batch_3
b3_mlac7	M_LAC	0.75	14	batch_3
b3_mlac8	M_LAC	0.27	14	batch_3
b3_mlac9	M_LAC	0.61	14	batch_3
b3_mlac10	M_LAC	0.72	14	batch_3
b3_mlac1	M_LAC	0.95	16	batch_3
b3_mlac2	M_LAC	0.5	16	batch_3
b3_mlac3	M_LAC	1.33	16	batch_3
b3_mlac4	M_LAC	0.54	16	batch_3
b3_mlac5	M_LAC	1	16	batch_3
b3_mlac6	M_LAC	0.72	16	batch_3
b3_mlac7	M_LAC	0.7	16	batch_3
b3_mlac8	M_LAC	1.35	16	batch_3
b3_mlac9	M_LAC	1.35	16	batch_3
b3_mlac10	M_LAC	1.45	16	batch_3
b3_mlac1	M_LAC	0.98	18	batch_3
b3_mlac2	M_LAC	0.9	18	batch_3
b3_mlac3	M_LAC	2	18	batch_3
b3_mlac4	M_LAC	1.68	18	batch_3
b3_mlac5	M_LAC	1.54	18	batch_3
b3_mlac6	M_LAC	0.55	18	batch_3
b3_mbif1	M_BIF	0.18	7	batch_3
b3_mbif2	M_BIF	0.08	7	batch_3
b3_mbif3	M_BIF	0.18	7	batch_3
b3_mbif4	M_BIF	0	7	batch_3
b3_mbif5	M_BIF	0	7	batch_3
b3_mbif6	M_BIF	0	7	batch_3
b3_mbif7	M_BIF	0	7	batch_3
b3_mbif8	M_BIF	0	7	batch_3
b3_mbif9	M_BIF	0	7	batch_3
b3_mbif10	M_BIF	0	7	batch_3
b3_mbif1	M_BIF	0.13	9	batch_3
b3_mbif2	M_BIF	0.13	9	batch_3
b3_mbif3	M_BIF	0.08	9	batch_3
b3_mbif4	M_BIF	0.25	9	batch_3
b3_mbif5	M_BIF	0.05	9	batch_3
b3_mbif6	M_BIF	0.61	9	batch_3
b3_mbif7	M_BIF	0.18	9	batch_3
b3_mbif8	M_BIF	0.13	9	batch_3
b3_mbif9	M_BIF	0.13	9	batch_3
b3_mbif10	M_BIF	0.32	9	batch_3
b3_mbif1	M_BIF	0.25	11	batch_3
b3_mbif2	M_BIF	0.32	11	batch_3
b3_mbif3	M_BIF	0.18	11	batch_3
b3_mbif4	M_BIF	0.61	11	batch_3
b3_mbif5	M_BIF	0.13	11	batch_3
b3_mbif6	M_BIF	0.98	11	batch_3
b3_mbif7	M_BIF	0.5	11	batch_3
b3_mbif8	M_BIF	0.41	11	batch_3
b3_mbif9	M_BIF	0.25	11	batch_3
b3_mbif10	M_BIF	0.85	11	batch_3
b3_mbif1	M_BIF	0.75	14	batch_3
b3_mbif2	M_BIF	1.4	14	batch_3
b3_mbif3	M_BIF	2.28	14	batch_3
b3_mbif4	M_BIF	0.32	14	batch_3
b3_mbif5	M_BIF	0.41	14	batch_3
b3_mbif6	M_BIF	1.28	14	batch_3
b3_mbif7	M_BIF	1.13	14	batch_3
b3_mbif8	M_BIF	1.121	14	batch_3
b3_mbif9	M_BIF	1.19	14	batch_3
b3_mbif10	M_BIF	0.72	14	batch_3
b3_mbif1	M_BIF	2.081	16	batch_3
b3_mbif2	M_BIF	0.99	16	batch_3
b3_mbif3	M_BIF	2.42	16	batch_3
b3_mbif4	M_BIF	0.85	16	batch_3
b3_mbif5	M_BIF	1.13	16	batch_3
b3_mbif6	M_BIF	2.6	16	batch_3
b3_mbif7	M_BIF	1.28	16	batch_3
b3_mbif8	M_BIF	1.13	16	batch_3
b3_mbif9	M_BIF	1.17	16	batch_3
b3_mbif1	M_BIF	1.43	18	batch_3
b3_mbif2	M_BIF	1.27	18	batch_3
b3_mbif3	M_BIF	1.8	18	batch_3
b3_mbif4	M_BIF	1.13	18	batch_3
b3_mbif5	M_BIF	1.45	18	batch_3
b3_mbif6	M_BIF	1.84	18	batch_3
b3_mbif7	M_BIF	1.84	18	batch_3
